"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PG_000002_T.1",218.711272107779,0.646643041769141,0.139211625788063,25.7900011531202,3.48843772630103e-05,0.000273867910407534
"PG_000003_T.1",284.560579305559,-2.95658094767899,0.465290394159822,60.6142993110002,2.15484319030465e-12,1.31812382543165e-10
"PG_000008_T.1",394.539149431641,5.04557918585509,0.44728711976065,168.111295991898,2.65949427736533e-35,4.49002418847589e-31
"PG_000010_T.1",132.567340876727,-1.00263481173148,0.335116313235575,15.349534496646,0.00402855006543151,0.0158853288863551
"PG_000012_T.1",150.997213600987,-0.652812275333687,0.284465781203517,15.8540365188489,0.00322141098336235,0.0131799543516555
"PG_000016_T.1",1112.39754432844,-0.173902201164813,0.399747206906851,20.9608598300773,0.000322377907177806,0.00186841956981905
"PG_000019_T.1",211.096436820356,1.04005072463398,0.224813119894657,34.1297915182108,7.00882792130875e-07,9.04663928099814e-06
"PG_000022_T.1",90.4318506213781,2.96021524745823,1.0906994885464,12.2331111158369,0.015699416710676,0.0489570100344189
"PG_000024_T.1",125.912028957898,1.75647420253139,0.409833140411809,33.3391262277278,1.01795020804752e-06,1.2590515283858e-05
"PG_000026_T.1",168.331789968816,0.87829889099304,0.219580297656353,33.3315415393283,1.02159864639212e-06,1.26263908836298e-05
"PG_000031_T.1",25.7367623335187,-2.87659286726358,0.680930548218218,30.7445570215074,3.45154382722343e-06,3.64658413235377e-05
"PG_000033_T.1",14.0541844860068,4.40083100221232,1.26568201486697,23.1125304365157,0.000120237036823759,0.000799984982343064
"PG_000035_T.1",22.7224063439486,-3.14471379243152,0.727878678578385,25.0361870336165,4.94739411606735e-05,0.000371726100852537
"PG_000036_T.1",10.3529639790155,-2.40070812471263,0.681588801310525,15.2825800075242,0.00414962161460432,0.0162944671983637
"PG_000037_T.1",35.0979208398373,1.14463029384821,0.481819380377178,19.9061389771141,0.000521161932799853,0.00283557103173056
"PG_000038_T.1",50.7919122270758,3.11791613103017,0.533981959074484,51.5589098576654,1.70579450493633e-10,6.16199541345225e-09
"PG_000042_T.1",12.3035604008402,-2.898658040707,1.0393345711538,16.0003441627001,0.00301870187099375,0.0124577716176943
"PG_000043_T.1",43.9287602641688,-3.53682380896752,0.981256599120132,25.2297140315754,4.5232468847215e-05,0.000344150393979522
"PG_000044_T.1",83.8673453606699,0.882075395832887,0.198527022291642,56.465345720172,1.60167535796403e-11,7.67122980666856e-10
"PG_000046_T.1",142.653726023928,1.11987313110618,0.240399971740664,34.0702243105943,7.20881100652284e-07,9.27286523604763e-06
"PG_000047_T.1",198.957278889587,-2.91312395339164,0.940851412058654,14.5885402284824,0.00563529835844083,0.0211447365675201
"PG_000054_T.1",107.774943050928,0.973417978945475,0.364601955834917,20.2250404942866,0.000450817559682171,0.00249341617038955
"PG_000059_T.1",371.377697539357,1.92291685263428,0.239918787839031,91.2492096642993,7.14662585703607e-19,2.23437933971e-16
"PG_000062_T.1",136.02795100266,-5.65958679908693,0.954073532893192,49.5901028346424,4.3972624666142e-10,1.42767273507399e-08
"PG_000063_T.1",53.4655927606247,-1.17012508537312,0.588994950172453,13.509658971299,0.00903622593397667,0.0312792412144734
"PG_000064_T.1",22.5627689445013,5.30758356888714,0.878603535396902,39.9188023048773,4.49905277235553e-08,8.23834142686317e-07
"PG_000066_T.1",183.350825713929,-0.796484210886102,0.214812817508864,16.6474072948704,0.00226281942369634,0.00978066719452569
"PG_000075_T.1",119.910866745436,-2.68558424729588,0.492435187337271,64.0571900641975,4.06488267037234e-13,3.04857974047731e-11
"PG_000078_T.1",556.099372700133,8.07647210448024,0.965960718927072,92.5410063727641,3.7980966899729e-19,1.25731894934926e-16
"PG_000079_T.1",22.0878963672367,1.47093169578551,0.396560694359673,22.1054852358965,0.00019095927343175,0.00119295667468945
"PG_000083_T.1",14.814435627426,1.17653908104668,0.528161187280105,14.6580744541114,0.0054655563697565,0.0205970955782587
"PG_000085_T.1",225.947912236635,-0.793999198635111,0.219361197817215,27.9651066801828,1.26776884231442e-05,0.000113789161960629
"PG_000086_T.1",236.183190353099,0.602409098088013,0.243320843248651,14.2712824441077,0.00647772013292251,0.0237643087796894
"PG_000087_T.1",39.2585637630774,-1.04715746777733,0.504159833897735,19.6572106012796,0.000583530387845261,0.00311912095551418
"PG_000088_T.1",612.213641012864,-3.12940333309302,0.843785448155189,13.5811237720561,0.00875921579111752,0.0304534267301147
"PG_000104_T.1",32.6155111954992,3.32387277746057,0.660971509332197,33.9187349947765,7.74339327017995e-07,9.87399611634804e-06
"PG_000108_T.1",38.0410104303254,-1.64992139710852,0.383853043190802,25.8802484701719,3.3453540994555e-05,0.000263985105216673
"PG_000109_T.1",12.4901386077624,2.03846530112317,0.753188705595275,18.898355865919,0.000822917484347876,0.00417216693340696
"PG_000110_T.1",83.6465834931001,2.34339356540141,0.5968323302185,30.3819596998543,4.09180010138793e-06,4.22260764741641e-05
"PG_000111_T.1",122.394588500942,-1.14174189067263,0.237398391875164,31.2275177647621,2.75105060245405e-06,2.98017242997958e-05
"PG_000113_T.1",67.7726967112133,7.65840611324458,1.36892117318338,59.6011722428894,3.51826761699427e-12,2.0376985309679e-10
"PG_000116_T.1",528.811373018156,-0.61537234875101,0.229265963512757,13.028157946301,0.0111390256108139,0.0370306526311649
"PG_000119_T.1",291.052365397655,-5.0826184152962,0.716507499934303,71.0134023885947,1.3867819868219e-14,1.50083591560988e-12
"PG_000122_T.1",13.2824338860656,-1.52473775277946,0.518975728439583,16.8672840571206,0.00205113949459265,0.00900244341043971
"PG_000125_T.1",109.651483501146,1.32856999538967,0.6944984371087,14.7872636006025,0.00516340774906976,0.0196359529288309
